timestamp,datetime,open,high,low,price,price_change,price_change_pct,volume,volume_change,market_cap,market_cap_change,price_volatility,volume_volatility
1729036800000,2024-10-16 00:00:00,66962.21994496793,,,66962.21994496793,912.2250178877148,1.3811129264957867,51797932876.82809,5244136742.682068,1323774576161.621,17688962163.81958,,
1729123200000,2024-10-17 00:00:00,67647.54414766871,,,67647.54414766871,685.32420270078,1.0234490482304848,40640495380.19594,-11157437496.632149,1337304399194.887,13529823033.26587,,
1729209600000,2024-10-18 00:00:00,67328.10527002988,,,67328.10527002988,-319.43887763883686,-0.47221060522393277,34512072357.92087,-6128423022.27507,1330387728623.8188,-6916670571.068115,,
1729296000000,2024-10-19 00:00:00,68465.61920668735,,,68465.61920668735,1137.513936657473,1.6895083146856615,39984956633.228035,5472884275.307167,1353541799303.4875,23154070679.6687,,
1729382400000,2024-10-20 00:00:00,68388.87128965274,,,68388.87128965274,-76.74791703460505,-0.11209701734079536,14110889435.452631,-25874067197.775406,1351942347611.1997,-1599451692.2878418,,
1729468800000,2024-10-21 00:00:00,68962.82918045693,,,68962.82918045693,573.9578908041876,0.8392562707655538,17253863432.786995,3142973997.334364,1362381684459.9053,10439336848.705566,,14281929529.740513
1729555200000,2024-10-22 00:00:00,67394.85775735618,,,67394.85775735618,-1567.9714231007529,-2.2736471831771854,40485496091.95008,23231632659.163086,1332326858574.4448,-30054825885.46045,1.3725536244103105,13631628635.349823
1729641600000,2024-10-23 00:00:00,67351.04793512498,,,67351.04793512498,-43.80982223119645,-0.06500469574240997,31398389967.38113,-9087106124.56895,1331426858508.4004,-900000066.0444336,1.2883398416493415,11180790321.768747
1729728000000,2024-10-24 00:00:00,66683.96806542306,,,66683.96806542306,-667.07986970192,-0.9904521015685952,32676918488.059,1278528520.677868,1318285437546.2786,-13141420962.121826,1.2698515687180834,10440525943.931515
1729814400000,2024-10-25 00:00:00,68214.05205157402,,,68214.05205157402,1530.0839861509594,2.294530500419234,35892606570.03549,3215688081.976494,1347888109010.5889,29602671464.310303,1.566207438543169,10551086476.77461
1729900800000,2024-10-26 00:00:00,66585.66535501445,,,66585.66535501445,-1628.3866965595662,-2.3871719207186337,48426924850.053406,12534318280.017914,1313975091942.221,-33913017068.36792,1.6732111321916463,12201602829.180548
1729987200000,2024-10-27 00:00:00,67018.1650170265,,,67018.1650170265,432.499662012051,0.6495386953124127,21169467789.89267,-27257457060.160736,1325192118637.2595,11217026695.038574,1.7180729185962271,10731649771.47383
1730073600000,2024-10-28 00:00:00,67938.55412885673,,,67938.55412885673,920.3891118302272,1.3733427520678854,16533385730.434193,-4636082059.458477,1343350549900.1233,18158431262.86377,1.786363977077102,10904000498.33614
